Window,Model,Macro_Variable,Aggregated_Importance
R_5d,Ridge_60dim,cpi,0.0013861770868060278
R_5d,Ridge_60dim,ppi,0.0007276306375300195
R_5d,Ridge_60dim,m2_growth,0.0007624413817067346
R_5d,Ridge_60dim,epu,0.0010966485699589604
R_5d,Ridge_60dim,usd_cny,0.002277287894554899
R_5d,Ridge_15dim,cpi,0.0008219195567448522
R_5d,Ridge_15dim,ppi,0.00040480249446691913
R_5d,Ridge_15dim,m2_growth,0.0008431721675056968
R_5d,Ridge_15dim,epu,0.0006544898908234873
R_5d,Ridge_15dim,usd_cny,0.0018428242487547358
R_5d,ElasticNet_60dim,cpi,0.0
R_5d,ElasticNet_60dim,ppi,0.0
R_5d,ElasticNet_60dim,m2_growth,0.0
R_5d,ElasticNet_60dim,epu,0.0
R_5d,ElasticNet_60dim,usd_cny,0.0018534217561915658
R_5d,ElasticNet_15dim,cpi,0.0
R_5d,ElasticNet_15dim,ppi,0.0
R_5d,ElasticNet_15dim,m2_growth,0.0
R_5d,ElasticNet_15dim,epu,0.0
R_5d,ElasticNet_15dim,usd_cny,0.001584810486411272
R_60d,Ridge_60dim,cpi,0.012143512672152447
R_60d,Ridge_60dim,ppi,0.00792482902726277
R_60d,Ridge_60dim,m2_growth,0.0042446240028091295
R_60d,Ridge_60dim,epu,0.009775642686506002
R_60d,Ridge_60dim,usd_cny,0.019417548114900388
R_60d,Ridge_15dim,cpi,0.011632019552808109
R_60d,Ridge_15dim,ppi,0.005315244012103984
R_60d,Ridge_15dim,m2_growth,0.004647777679233094
R_60d,Ridge_15dim,epu,0.004583481346481526
R_60d,Ridge_15dim,usd_cny,0.017291289230598833
R_60d,ElasticNet_60dim,cpi,0.0
R_60d,ElasticNet_60dim,ppi,0.0
R_60d,ElasticNet_60dim,m2_growth,0.0
R_60d,ElasticNet_60dim,epu,0.0
R_60d,ElasticNet_60dim,usd_cny,0.019912644427917212
R_60d,ElasticNet_15dim,cpi,0.0
R_60d,ElasticNet_15dim,ppi,0.0
R_60d,ElasticNet_15dim,m2_growth,0.0
R_60d,ElasticNet_15dim,epu,0.0
R_60d,ElasticNet_15dim,usd_cny,0.03299800862084482
