Target,Window,Model,Variable,Coef,t_value,p_value
AR,5d,model1,const,-0.000397767626519674,-0.25187149653255986,0.8011403919224205
AR,5d,model1,sentiment_zscore_z_lag1,0.0010902006020062278,1.1994664864663316,0.23034660855147693
AR,5d,model1,ivix_z_lag1,-0.0014533930115633608,-0.8270455737808406,0.40821123093179257
AR,5d,model2,const,-0.00020242307362628543,-0.12781575708093287,0.8982947799980848
AR,5d,model2,sentiment_zscore_z_lag1,0.0009456907047895901,1.0127187261314854,0.3111945306911682
AR,5d,model2,ivix_z_lag1,-0.0009017711481707515,-0.5072007738728872,0.612013952087868
AR,5d,model2,north_flow_z_lag1,0.00020763127287398397,0.19977510449308483,0.8416564725657754
AR,5d,model2,margin_balance_z_lag1,-0.00172595502643009,-1.2876905720578238,0.19785369674354447
AR,5d,model3,const,1.0240783381955832e-05,0.0065972621963998985,0.9947361845335538
AR,5d,model3,sentiment_zscore_z_lag1,0.0011220477281445658,1.2190409100330837,0.22282866551469316
AR,5d,model3,ivix_z_lag1,-0.00113214870475981,-0.5939392393234607,0.5525527529215565
AR,5d,model3,north_flow_z_lag1,0.0005469235461420646,0.5131179664128803,0.607868804558852
AR,5d,model3,margin_balance_z_lag1,-0.0019796095564955365,-1.450539198483005,0.14690821649059116
AR,5d,model3,amihud_z_lag1,-0.0016537360741466969,-1.2722683616962385,0.20327778573357003
AR,5d,model3,momentum_20d_z_lag1,-0.002623149214494987,-1.6096670559267918,0.10747056064410869
AR,5d,model3,intraday_range_z_lag1,0.001209467582863999,0.5941904731623867,0.5523847239770043
AR,5d,model4,const,-0.0010345019879546254,-0.6507703535635885,0.5151947404067494
AR,5d,model4,sentiment_zscore_z_lag1,0.0012197045262973554,1.3323750286363445,0.18273698356337753
AR,5d,model4,ivix_z_lag1,-0.003130637958073219,-1.440817017549125,0.14963638446778274
AR,5d,model4,north_flow_z_lag1,0.00027968503638752196,0.26533893344460635,0.7907483744769768
AR,5d,model4,margin_balance_z_lag1,-0.0017923869734725872,-1.3205693864678612,0.18664498603412505
AR,5d,model4,amihud_z_lag1,-0.0020301464103595797,-1.6026698344329187,0.1090075668063692
AR,5d,model4,momentum_20d_z_lag1,-0.0029255704132974043,-1.8546118997801793,0.06365166759491489
AR,5d,model4,intraday_range_z_lag1,0.0017847354145022652,0.8903972582690489,0.37325261404855736
AR,5d,model4,epu_z_lag1,0.0030025695475463417,2.1144516880336495,0.03447670695311542
AR,5d,model4,fx_vol_z_lag1,0.0013573221369421549,0.8572304347496807,0.39131754558172127
AR,5d,model_lasso,const,-0.000397767626519674,-0.25187149653255986,0.8011403919224205
AR,5d,model_lasso,sentiment_zscore_z_lag1,0.0010902006020062278,1.1994664864663316,0.23034660855147693
AR,5d,model_lasso,ivix_z_lag1,-0.0014533930115633608,-0.8270455737808406,0.40821123093179257
AR,60d,model1,const,-0.0010374179570253896,-0.07031626229167616,0.9439419391080512
AR,60d,model1,sentiment_zscore_z_lag1,0.0008151065044320735,0.4196834674346138,0.674716704125548
AR,60d,model1,ivix_z_lag1,-0.0038692732418923004,-0.3506582728921601,0.7258447334933453
AR,60d,model2,const,0.0011310154243472765,0.07641103262289564,0.9390920925047683
AR,60d,model2,sentiment_zscore_z_lag1,0.0004533112022466876,0.21159905172053445,0.8324198491973134
AR,60d,model2,ivix_z_lag1,0.001087247520702465,0.0931199950235794,0.9258082327221576
AR,60d,model2,north_flow_z_lag1,-0.004296249467191612,-1.0951098741448937,0.27346850331088535
AR,60d,model2,margin_balance_z_lag1,-0.0193044744974692,-1.721058618465182,0.0852401874336985
AR,60d,model3,const,0.001147092010879093,0.07763226533742537,0.9381205757958941
AR,60d,model3,sentiment_zscore_z_lag1,0.0014656961372497923,0.7576538111025991,0.4486582569027254
AR,60d,model3,ivix_z_lag1,0.005898512528948898,0.4467255541371813,0.6550732287538648
AR,60d,model3,north_flow_z_lag1,-0.0033396601365311873,-0.7638247514103078,0.4449716847214198
AR,60d,model3,margin_balance_z_lag1,-0.018733352368670943,-1.7199490962634254,0.08544169496141088
AR,60d,model3,amihud_z_lag1,0.00013050485472625444,0.02131913320509499,0.9829910812167348
AR,60d,model3,momentum_20d_z_lag1,-0.009285869681280607,-1.210044069484852,0.22626198298245281
AR,60d,model3,intraday_range_z_lag1,-0.01058497817461237,-1.0915575304024379,0.2750276318752749
AR,60d,model4,const,-0.010506570196177765,-0.9072312037728675,0.36428454593202075
AR,60d,model4,sentiment_zscore_z_lag1,0.0025780554092964436,1.58733037358414,0.11243783952412766
AR,60d,model4,ivix_z_lag1,-0.015244175698260535,-1.0136589587345626,0.310745513970047
AR,60d,model4,north_flow_z_lag1,-0.006269677754067336,-1.6699252743570032,0.09493414906723305
AR,60d,model4,margin_balance_z_lag1,-0.016594296049153558,-1.694863691494225,0.09010128168811386
AR,60d,model4,amihud_z_lag1,-0.0037664898040117856,-0.8007315307081323,0.42328708466670173
AR,60d,model4,momentum_20d_z_lag1,-0.013182994317398795,-2.0638634149742643,0.03903066837197404
AR,60d,model4,intraday_range_z_lag1,-0.004664661167494274,-0.5900789194547307,0.5551377410529246
AR,60d,model4,epu_z_lag1,0.03463514922108879,2.426897654288501,0.015228551168992237
AR,60d,model4,fx_vol_z_lag1,0.009401750259465644,0.7690898558669205,0.4418399697869464
AR,60d,model_lasso,const,-0.0010374179570253896,-0.07031626229167616,0.9439419391080512
AR,60d,model_lasso,sentiment_zscore_z_lag1,0.0008151065044320735,0.4196834674346138,0.674716704125548
AR,60d,model_lasso,ivix_z_lag1,-0.0038692732418923004,-0.3506582728921601,0.7258447334933453
