variable,mean,std,min,max,p25,median,p75,skewness,kurtosis,n_valid
r_t,0.00014477588519779571,0.012144795422386131,-0.08208776330585395,0.08141990816478428,-0.0056805559044595805,0.00019719292175912612,0.006195786187701249,-0.4741112165081893,5.923628092432352,2489
future_absret_5,0.008443320188541468,0.005025857268608277,0.0007606828528512763,0.059449806946160456,0.005276747985219545,0.00731253638829564,0.010075527121175421,2.7192512225743024,14.340892817702763,2489
future_logrv_20,-9.186596178149015,0.8335234297781424,-11.890217884240453,-6.70120911803413,-9.733434928159094,-9.261305718695446,-8.700445078671352,0.3053461850783998,0.09633513192415721,2489
past_absret_5,0.008446461551502436,0.00502546238836721,0.0007606828528512763,0.059449806946160456,0.005291628849899026,0.007316117215478278,0.010087162148263603,2.7184246221118973,14.33934827682867,2489
past_absret_20,0.008482215486955654,0.0036869671854425144,0.0020838020618091356,0.026641411937360825,0.0059842306783781446,0.007576677892715146,0.010081160467467187,1.525704288272452,3.250751129651838,2489
past_absret_60,0.008631259968075806,0.0032303981441068855,0.003466374795804477,0.02534479185916788,0.006336902351492848,0.008060799973127466,0.010637340359524511,1.2413865843553815,2.3568136101761263,2489
past_logrv_5,-9.410514854925488,1.0530489152430937,-14.142115680744494,-5.577067653844023,-10.083622314348835,-9.412503370497515,-8.766768463974634,0.057489796806540795,0.6438634574305051,2489
past_logrv_20,-9.185708246291593,0.8340673506655365,-11.890217884240453,-6.70120911803413,-9.73315086311965,-9.261084602326138,-8.700244650559535,0.3046240680804487,0.09252497003993554,2489
past_logrv_60,-9.050256494325838,0.7574452145473741,-10.705747370537962,-6.759111445551208,-9.60737581428187,-9.10496547435416,-8.492675550058848,0.27472204899902836,-0.2968350444695478,2489
epu_log_m1,6.2995726212998635,0.4595634864803221,4.651567680481222,6.8781512624184415,6.113634612329236,6.472208711621047,6.61123100254443,-1.2693741038340502,1.225316851389045,2489
fx_ret1_m1,0.0013909417559692056,0.0120651043630332,-0.027299822732586243,0.04356928397908888,-0.005094464542420241,6.193196775328147e-05,0.007414931175861561,0.5913773133019075,0.9799491071448685,2489
ppi_yoy_m1,0.8340297308155888,4.618602626964548,-5.9,13.5,-2.7,-0.8,4.4,0.6887166571209248,-0.48542136264108926,2489
m2_delta1_m1,-0.04061872237846526,0.49402517248420197,-1.6000000000000014,1.299999999999999,-0.3000000000000007,0.0,0.29999999999999893,-0.09257122044412501,0.6192916237606152,2489
