Window,Variable,alpha,beta,a,b
5d,cpi,-0.005843801154006932,0.00352545217276169,1.1528028220611704,1.815247167279885
5d,ppi,0.002399911989863828,-0.0005448782264803135,0.0001,0.0001
5d,m2_growth,-0.007733432117402381,0.0009915859658603467,0.0001,2.9804668267321124
5d,epu,-0.0029314537248201333,8.575311326009049e-06,1.4999983314860206,1.500002089216488
5d,usd_cny,-0.08782190624982689,0.00013256681809017593,1.4999389763053403,1.50006677731609
60d,cpi,-0.0653514102992513,0.038274295619185376,0.13971531138036714,0.9942978381316832
60d,ppi,0.023836582455140913,-0.004884749607537963,1.9262625649699088,0.9824803335498783
60d,m2_growth,0.07113639234158355,-0.005197397234751116,46.3832633857964,7.39285981275358
60d,epu,-0.053083423740460295,0.0001292515232816941,0.34473121261700823,2.894530551899088
