feature,VIF
cpi_yoy_m1,inf
cpi_yoy_avg3,1723064.9454694553
cpi_yoy_avg6,9581086.105978508
cpi_yoy_avg12,inf
cpi_delta1_m1,197.7349579107993
cpi_delta1_avg3,1384.2124703658326
cpi_delta1_avg6,6257.251782236883
cpi_delta1_avg12,35365.53413061362
cpi_dev12_m1,inf
cpi_dev12_avg3,1157879.915890804
cpi_dev12_avg6,9532413.90849173
cpi_dev12_avg12,5441497.390992322
ppi_yoy_m1,inf
ppi_yoy_avg3,5877572.944028257
ppi_yoy_avg6,15986257.53720148
ppi_yoy_avg12,inf
ppi_delta1_m1,3786.9195746623764
ppi_delta1_avg3,3560.958617323969
ppi_delta1_avg6,15906.814328883635
ppi_delta1_avg12,161225.28540424356
ppi_dev12_m1,inf
ppi_dev12_avg3,5577402.7752571935
ppi_dev12_avg6,12157819.49022508
ppi_dev12_avg12,5354474.628586848
m2_yoy_m1,inf
m2_yoy_avg3,267.703731894475
m2_yoy_avg6,62.22321468517233
m2_yoy_avg12,inf
m2_delta1_m1,951.5172948431691
m2_delta1_avg3,658.269555844474
m2_delta1_avg6,4526.535407408455
m2_delta1_avg12,3638.4087349166
m2_dev12_m1,inf
m2_dev12_avg3,2299642.181330467
m2_dev12_avg6,2435173.444053594
m2_dev12_avg12,1368627.6987751024
epu_log_m1,inf
epu_log_avg3,297642.5136980795
epu_log_avg6,949897.274113792
epu_log_avg12,inf
epu_log_delta1_m1,208.64696816190195
epu_log_delta1_avg3,611.0066627859335
epu_log_delta1_avg6,1568.8060907854708
epu_log_delta1_avg12,3793.711669591676
epu_log_dev12_m1,inf
epu_log_dev12_avg3,197184.97582042057
epu_log_dev12_avg6,572997.2997376596
epu_log_dev12_avg12,900813.4543227025
fx_log_m1,inf
fx_log_avg3,1224917.1585332009
fx_log_avg6,2317454.4231979316
fx_log_avg12,inf
fx_ret1_m1,1125.396819167932
fx_ret1_avg3,2987.0294391728726
fx_ret1_avg6,6880.724995308326
fx_ret1_avg12,10281.073413666727
fx_dev12_m1,inf
fx_dev12_avg3,1148245.549340979
fx_dev12_avg6,2435928.053957046
fx_dev12_avg12,460212.72096480656
