Window,Model,Adj_R2,Joint_F_12,Joint_P_12,Joint_F_23,Joint_P_23,Joint_F_34,Joint_P_34,LASSO_Selected
5d,model1,0.0011064905274336123,,,,,,,
5d,model2,0.003668564284033393,0.846827248487295,0.42901724327454577,,,,,
5d,model3,0.0077977307100771664,,,1.134678145451623,0.33386011617690153,,,
5d,model4,0.016061479103484322,,,,,2.3495350557208416,0.09583341480856213,
5d,model_lasso,0.0011064905274336123,,,,,,,
60d,model1,-0.0004546781053631488,,,,,,,
60d,model2,0.057620197886472435,3.2691626757342034,0.03836141541765738,,,,,
60d,model3,0.06916023119108039,,,1.2345732463661265,0.29576528037948296,,,
60d,model4,0.2054654460333042,,,,,3.0065255351008853,0.04981992844568191,
60d,model_lasso,-0.0004546781053631488,,,,,,,
