target,model,variable,coef,std_coef,std_error_hac,t_value,p_value,ci_lower,ci_upper
future_absret_5,HAR_OLS,const,0.000506,0.008820,0.000164,3.091721,0.002027,0.000185,0.000828
future_absret_5,HAR_OLS,past_absret_5,0.823616,0.000021,0.029391,28.022253,0.000000,0.765963,0.881269
future_absret_5,HAR_OLS,past_absret_20,0.107151,0.000002,0.038919,2.753166,0.005974,0.030809,0.183493
future_absret_5,HAR_OLS,past_absret_60,0.009980,0.000000,0.030625,0.325884,0.744558,-0.050092,0.070053
future_absret_5,HARX_OLS,const,0.001562,0.008820,0.000995,1.570516,0.116508,-0.000389,0.003513
future_absret_5,HARX_OLS,past_absret_5,0.822169,0.000021,0.028853,28.495557,0.000000,0.765573,0.878765
future_absret_5,HARX_OLS,past_absret_20,0.108830,0.000002,0.039023,2.788895,0.005356,0.032285,0.185376
future_absret_5,HARX_OLS,past_absret_60,-0.008517,-0.000000,0.032633,-0.260985,0.794140,-0.072528,0.055494
future_absret_5,HARX_OLS,epu_log_m1,-0.000137,-0.000037,0.000162,-0.847844,0.396661,-0.000455,0.000180
future_absret_5,HARX_OLS,fx_ret1_m1,-0.000654,-0.000000,0.005684,-0.115040,0.908429,-0.011804,0.010496
future_absret_5,HARX_OLS,ppi_yoy_m1,-0.000024,-0.000435,0.000018,-1.285925,0.198670,-0.000059,0.000012
future_absret_5,HARX_OLS,m2_delta1_m1,0.000176,0.000044,0.000126,1.395029,0.163216,-0.000072,0.000424
future_absret_5,HARX_lite_OLS,const,0.000655,0.008820,0.000194,3.383598,0.000734,0.000275,0.001035
future_absret_5,HARX_lite_OLS,past_absret_5,0.822950,0.000021,0.028899,28.476674,0.000000,0.766262,0.879637
future_absret_5,HARX_lite_OLS,past_absret_20,0.108117,0.000002,0.038904,2.779075,0.005520,0.031804,0.184429
future_absret_5,HARX_lite_OLS,past_absret_60,-0.003404,-0.000000,0.032676,-0.104186,0.917036,-0.067500,0.060691
future_absret_5,HARX_lite_OLS,fx_ret1_m1,0.000923,0.000000,0.005641,0.163618,0.870054,-0.010141,0.011987
future_absret_5,HARX_lite_OLS,ppi_yoy_m1,-0.000021,-0.000390,0.000018,-1.168505,0.242790,-0.000057,0.000014
future_absret_5,HAR_Ridge,past_absret_5,0.003694,0.000019,,,,,
future_absret_5,HAR_Ridge,past_absret_20,0.000701,0.000003,,,,,
future_absret_5,HAR_Ridge,past_absret_60,0.000056,0.000000,,,,,
future_absret_5,HAR_Ridge,const,0.008820,0.008820,,,,,
future_absret_5,HARX_Ridge,past_absret_5,0.003687,0.000019,,,,,
future_absret_5,HARX_Ridge,past_absret_20,0.000700,0.000003,,,,,
future_absret_5,HARX_Ridge,past_absret_60,-0.000001,-0.000000,,,,,
future_absret_5,HARX_Ridge,epu_log_m1,-0.000081,-0.000042,,,,,
future_absret_5,HARX_Ridge,fx_ret1_m1,-0.000010,-0.000000,,,,,
future_absret_5,HARX_Ridge,ppi_yoy_m1,-0.000102,-0.000440,,,,,
future_absret_5,HARX_Ridge,m2_delta1_m1,0.000078,0.000039,,,,,
future_absret_5,HARX_Ridge,const,0.008820,0.008820,,,,,
future_logrv_20,HAR_OLS,const,-0.101195,-9.099744,0.039309,-2.574366,0.010138,-0.178301,-0.024089
future_logrv_20,HAR_OLS,past_logrv_5,0.024572,0.029000,0.007006,3.507484,0.000466,0.010830,0.038313
future_logrv_20,HAR_OLS,past_logrv_20,0.962421,0.764096,0.007743,124.290017,0.000000,0.947232,0.977610
future_logrv_20,HAR_OLS,past_logrv_60,0.001486,0.001021,0.008063,0.184327,0.853782,-0.014331,0.017303
future_logrv_20,HARX_OLS,const,-0.092153,-9.099744,0.071932,-1.281119,0.200352,-0.233251,0.048945
future_logrv_20,HARX_OLS,past_logrv_5,0.024697,0.029149,0.006940,3.558834,0.000384,0.011085,0.038310
future_logrv_20,HARX_OLS,past_logrv_20,0.963355,0.764838,0.008150,118.207802,0.000000,0.947369,0.979341
future_logrv_20,HARX_OLS,past_logrv_60,-0.002805,-0.001928,0.009691,-0.289488,0.772249,-0.021814,0.016203
future_logrv_20,HARX_OLS,epu_log_m1,-0.005791,-0.001544,0.008585,-0.674580,0.500047,-0.022631,0.011048
future_logrv_20,HARX_OLS,fx_ret1_m1,-0.247775,-0.000035,0.353371,-0.701174,0.483304,-0.940935,0.445385
future_logrv_20,HARX_OLS,ppi_yoy_m1,-0.001321,-0.024432,0.001046,-1.263295,0.206682,-0.003373,0.000730
future_logrv_20,HARX_OLS,m2_delta1_m1,0.002930,0.000734,0.007960,0.368122,0.712835,-0.012683,0.018543
future_logrv_20,HAR_Ridge,past_logrv_5,0.026706,0.029013,,,,,
future_logrv_20,HAR_Ridge,past_logrv_20,0.857515,0.764070,,,,,
future_logrv_20,HAR_Ridge,past_logrv_60,0.001250,0.001036,,,,,
future_logrv_20,HAR_Ridge,const,-9.099744,-9.099744,,,,,
future_logrv_20,HARX_Ridge,past_logrv_5,0.026842,0.029161,,,,,
future_logrv_20,HARX_Ridge,past_logrv_20,0.858347,0.764811,,,,,
future_logrv_20,HARX_Ridge,past_logrv_60,-0.002307,-0.001912,,,,,
future_logrv_20,HARX_Ridge,epu_log_m1,-0.002990,-0.001544,,,,,
future_logrv_20,HARX_Ridge,fx_ret1_m1,-0.002962,-0.000035,,,,,
future_logrv_20,HARX_Ridge,ppi_yoy_m1,-0.005681,-0.024429,,,,,
future_logrv_20,HARX_Ridge,m2_delta1_m1,0.001465,0.000733,,,,,
future_logrv_20,HARX_Ridge,const,-9.099744,-9.099744,,,,,
