target,feature_scheme,model,best_params,train_r2,test_r2_os,test_rmse,test_mae
R_5d,summary,Baseline_SummaryOLS,None,0.19124111661214682,-5415.059406712486,1.8885964967219981,1.6479831724199705
R_5d,summary,Ridge,alpha=10000,0.023917295679146355,-0.0056518790168740285,0.025734830063668925,0.018035126947829706
R_5d,summary,PCR,n_components=1,0.011976148530098762,-0.004149146025383521,0.025715595258481612,0.01796890628951884
R_5d,factor,Factor_OLS,None,0.06427847043929669,-0.2676521036468147,0.028893467278779242,0.020901383256732572
R_5d,factor,Factor_Ridge,alpha=10000,0.016364339109427695,-0.003648107575688009,0.025709306126713596,0.018040521768379694
R_60d,summary,Baseline_SummaryOLS,None,0.8603238907144671,-93357.47490364988,27.0432740311122,22.82800231884951
R_60d,summary,Ridge,alpha=10000,0.3080860372769012,0.01709094789287091,0.08774837084817613,0.07221467850557943
R_60d,summary,PCR,n_components=5,0.355427177565248,0.05019755287775929,0.0862579309792265,0.0728044287612361
R_60d,factor,Factor_OLS,None,0.5703418323895437,-6.626220331579906,0.2442315276819812,0.2179456637036362
R_60d,factor,Factor_Ridge,alpha=10000,0.21423247414647983,-0.024217470369118033,0.0895041436058674,0.07268889643989898
